data
"P41 KEPALA BATAS  Reezal Merican Naina Merican (BN - UMNO)37.1% (22,459)Zaidi Zakaria (PH - AMANAH)29.3% (17,723)Siti Mastura Muhammad (PAS)20.0% (12,120)Registered voters: 60,523Majority: 4,736Spoilt votes: 715Unreturned votes: 0Voter Turnout: 53,127 (87.8%)DemographicsMalay 78.56%; Chinese 17.02%; Indian 4.17%; B/P Sabah 0.06%; B/P Sarawak 0.06%; Others 0.13%Incumbent: Reezal Merican Naina Merican"
"P42 TASEK GELUGOR  Shabudin Yahaya (BN - UMNO)30.5% (18,547)Marzuki Yahya (PH - PPBM)30.3% (18,466)Rizal Hafiz Ruslan (PAS)24.5% (14,891)Registered voters: 60,850Majority: 81Spoilt votes: 689Unreturned votes: 0Voter Turnout: 0 (0%)DemographicsMalay 78.23%; Chinese 14.71%; Indian 6.59%; B/P Sabah 0.12%; B/P Sarawak 0.15%; Others 0.21%Incumbent: Shabudin Yahaya"
"P43 BAGAN  Lim Guan Eng (PH - DAP)72.2% (51,653)Lee Beng Seng (BN - MCA)10.8% (7,751)Huan Cheng Guan (PCM)0.7% (502)Koay Xing Boon (MUP)0.3% (181)Registered voters: 71,583Majority: 43,902Spoilt votes: 463Unreturned votes: 0Voter Turnout: 60,642 (84.7%)DemographicsMalay 13.35%; Chinese 71.27%; Indian 15.03%; B/P Sabah 0.05%; B/P Sarawak 0.03%; Others 0.28%Incumbent: Lim Guan Eng"
"P44 PERMATANG PAUH  Nurul Izzah Anwar (PH - PKR)43.4% (35,534)Mohd Zaidi Mohd Said (BN - UMNO)24.3% (19,866)Afnan Hamimi Taib Azamudden (PAS)17.6% (14,428)Registered voters: 81,789Majority: 15,668Spoilt votes: 658Unreturned votes: 0Voter Turnout: 70,686 (86.4%)DemographicsMalay 71.94%; Chinese 21.41%; Indian 6.16%; B/P Sabah 0.07%; B/P Sarawak 0.06%; Others 0.36%"
"P45 BUKIT MERTAJAM  Sim Chee Keong (PH - DAP)71.7% (63,784)Gui Guat Lye (BN - MCA)12.3% (10,907)Registered voters: 88,998Majority: 52,877Spoilt votes: 1,109Unreturned votes: 0Voter Turnout: 75,977 (85.4%)DemographicsMalay 19.34%; Chinese 70.36%; Indian 9.95%; B/P Sabah 0.06%; B/P Sarawak 0.03%; Others 0.26%Incumbent: Sim Chee Keong"
"P46 BATU KAWAN  Kasthuriraani Patto (PH - DAP)65.3% (42,683)Jayanthi Devi Balaguru (BN - GERAKAN)14.0% (9,130)Jay Kumar Balakrishna (PAS)4.0% (2,636)Ooi Khar Giap (PFP)0.4% (256)Registered voters: 65,394Majority: 33,553Spoilt votes: 675Unreturned votes: 0Voter Turnout: 55,479 (84.8%)DemographicsMalay 20.94%; Chinese 55.87%; Indian 22.76%; B/P Sabah 0.08%; B/P Sarawak 0.06%; Others 0.3%Incumbent: Kasthuriraani Patto"
"P47 NIBONG TEBAL  Mansor Othman (PH - PKR)48.2% (35,395)Shaik Hussein Mydin (BN - UMNO)26.7% (19,578)Mohd Helmi Haron (PAS)9.4% (6,875)Tan Tee Beng (IND)0.5% (331)Registered voters: 73,383Majority: 15,817Spoilt votes: 860Unreturned votes: 0Voter Turnout: 63,199 (86.1%)DemographicsMalay 47.7%; Chinese 35.03%; Indian 16.95%; B/P Sabah 0.07%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 0.01%; Others 0.2%Incumbent: Mansor Othman"
"P48 BUKIT BENDERA  Wong Hon Wai (PH - DAP)66.7% (50,049)Andy Yong Kim Seng (BN - GERAKAN)12.4% (9,318)Tan Gim Theam (MUP)0.5% (339)Registered voters: 75,069Majority: 40,731Spoilt votes: 512Unreturned votes: 0Voter Turnout: 60,429 (80.5%)DemographicsMalay 14.65%; Chinese 72.83%; Indian 11.29%; B/P Sabah 0.09%; B/P Sarawak 0.09%; Others 1.05%"
"P49 TANJONG  Chow Kon Yeow (PH - DAP)69.9% (34,663)Ng Siew Lai (BN - GERAKAN)10.2% (5,064)Registered voters: 49,586Majority: 29,599Spoilt votes: 347Unreturned votes: 0Voter Turnout: 40,130 (80.9%)DemographicsMalay 5.89%; Chinese 84.17%; Indian 9.55%; B/P Sabah 0.04%; B/P Sarawak 0.03%; Others 0.31%"
"P50 JELUTONG  Sanisvara Nethaji Rayer Rajaji (PH - DAP)65.9% (50,700)Baljit Singh Jigiri Singh (BN - GERAKAN)16.3% (12,529)Tan Sim Bee (MUP)0.6% (437)Registered voters: 76,991Majority: 38,171Spoilt votes: 720Unreturned votes: 0Voter Turnout: 64,584 (83.9%)DemographicsMalay 22.62%; Chinese 65.21%; Indian 11.67%; B/P Sabah 0.06%; B/P Sarawak 0.04%; Others 0.39%"
