parid,par,party,win_pct,state,votes_cast,votes_spoilt,ttl_reg,turn_out,malay,muslim_bumiputera,non_muslim_bumiputera,bp_sabah,bp_sarawak,org_asli_pen,others,chinese,indian,urbanisation_level,status,ttl_felda_area,age_21_30,age_31_40,age_41_50,age_51_60,age_61_70,age_71_80,age_81_90,age_above_90,coalition
61,PADANG RENGAS,BN,0.415,PERAK,25281,315,30996,0.8258,0.7775,,,0.0002,0.0004,,0.0013,0.1542,0.0665,RURAL,NON-FELDA,0,17.22,22.85,18.42,17.7,13.12,6.96,3.16,0.57,OPPOSITION
62,SUNGAI SIPUT,PKR,0.48719999999999997,PERAK,42726,814,55002,0.7916,0.3428,,,0.0005,0.0004,0.083,0.0016,0.3628,0.2089,SEMI URBAN,FELDA,1,14.68,22.33,20.82,19.16,13.21,6.74,2.6,0.46,GOVERNMENT
63,TAMBUN,PKR,0.4446,PERAK,86950,960,107763,0.8158,0.6631999999999999,,,0.0018,0.0033,0.0108,0.0045000000000000005,0.2022,0.1142,SEMI URBAN,NON-FELDA,0,18.27,25.01,19.9,18.05,12.29,4.82,1.43,0.22,GOVERNMENT
64,IPOH TIMOR,PKR,0.8046,PERAK,70241,1023,91486,0.779,0.21,,,0.0008,0.0009,0.0002,0.0039000000000000003,0.7201000000000001,0.064,URBAN,NON-FELDA,0,10.34,18.83,18.0,19.27,17.45,10.95,4.21,0.95,GOVERNMENT
65,IPOH BARAT,PKR,0.8490000000000001,PERAK,65502,878,84874,0.7820999999999999,0.1183,,,0.0004,0.0006,0.0003,0.004699999999999999,0.6315999999999999,0.24420000000000003,URBAN,NON-FELDA,0,11.17,18.81,19.23,20.34,16.93,9.27,3.37,0.89,GOVERNMENT
66,BATU GAJAH,PKR,0.8417,PERAK,62787,733,81399,0.7804000000000001,0.09949999999999999,,,0.0004,0.0005,0.0005,0.003,0.75,0.1461,SEMI URBAN,NON-FELDA,0,11.05,20.06,21.37,20.29,15.68,8.05,3.01,0.49,GOVERNMENT
67,KUALA KANGSAR,BN,0.40259999999999996,PERAK,30056,511,36954,0.8271999999999999,0.7036,,,0.0007000000000000001,0.0006,0.0105,0.0025,0.21600000000000003,0.0661,SEMI URBAN,NON-FELDA,0,17.64,22.89,18.58,17.38,13.02,6.76,3.17,0.56,OPPOSITION
68,BERUAS,PKR,0.6840999999999999,PERAK,60267,1009,79794,0.7679,0.2633,,,0.0009,0.0007000000000000001,0.0001,0.0019,0.5925,0.1406,RURAL,NON-FELDA,0,13.45,22.31,20.22,18.96,14.47,7.46,2.58,0.55,GOVERNMENT
69,PARIT,BN,0.4841,PERAK,28990,425,35910,0.8190999999999999,0.93,,,0.0007000000000000001,0.0008,0.018600000000000002,0.0021,0.022400000000000003,0.0254,RURAL,NON-FELDA,0,17.26,23.52,19.32,18.47,11.97,6.27,2.72,0.47,OPPOSITION
70,KAMPAR,PKR,0.5756,PERAK,52495,858,69436,0.7684000000000001,0.33390000000000003,,,0.0005,0.0005,0.0174,0.0024,0.5537,0.0916,SEMI URBAN,NON-FELDA,0,11.43,19.66,20.23,19.67,15.67,9.02,3.58,0.74,GOVERNMENT
